,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,company,condition,dates_clean,approval_date,generic_name,Biosimilar or new formulation?,total_pts_rct,txt_pts_rct,placebo_pts_rct,comparator_pts_rct,NCTid_1,NCTid_2,NCTid_3,NCTid_4,NCTid_5,NCTid_6,,
1,Adakveo,,TRUE,,,,,,,,,,,,,Adakveo (crizanlizumab-tmca) is a P-selectin inhibitor for the prevention of vaso-occlusive crises (VOCs) in patients with sickle cell disease (SCD).,Novartis,Prevention of Vaso-Occlusive Crises (VOCs) in Sickle Cell Disease,15-Nov-19,11/15/19,crizanlizumab-tmca,No,198,133,65,0,NCT01895361,,,,,,,
1,Brukinsa,,,,,,,,TRUE,,,,,,,Brukinsa (zanubrutinib) is a Bruton's tyrosine kinase (BTK) inhibitor indicated for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy.,"BeiGene, Ltd.",Mantle Cell Lymphoma,14-Nov-19,11/14/19,zanubrutinib,No,118,118,0,0,NCT03206970,NCT02343120,,,,,,
1,Fetroja,,,,,,,TRUE,,,,,,,,Fetroja (cefiderocol) is a siderophore cephalosporin indicated for the treatment of complicated urinary tract infections (cUTI) in patients with limited or no alternative treatment options.,"Shionogi & Co., Ltd.",Complicated Urinary Tract Infections,14-Nov-19,11/14/19,cefiderocol,No,448,300,0,148,NCT02321800,,,,,,,
1,Reblozyl,,TRUE,,,,,,,,,,,,,Reblozyl (luspatercept-aamt) is a first-in-class erythroid maturation agent (EMA) for the treatment of transfusion-dependent beta-thalassemia-associated anemia.,Celgene Corporation,Beta-Thalassemia-Associated Anemia,8-Nov-19,11/8/19,luspatercept-aamt,No,336,224,112,0,NCT02604433,,,,,,,
1,Trikafta,,,,,,,,,,,,TRUE,,,Trikafta (elexacaftor/tezacaftor/ivacaftor and ivacaftor) is a triple combination regimen for the treatment of cystic fibrosis (CF) in patients ages 12 years and older who have at least one copy of the F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene.,Vertex Pharmaceuticals Incorporated,Cystic Fibrosis,21-Oct-19,10/21/19,elexacaftor/tezacaftor/ivacaftor and ivacaftor,No,510,255,203,52,NCT03525444,NCT03525548,,,,,,
1,Reyvow,,,,,,,,,,TRUE,,,,,Reyvow (lasmiditan) is a serotonin (5-HT)1F receptor agonist indicated for the acute treatment of migraine with or without aura in adults.,Eli Lilly and Company,Migraine,11-Oct-19,10/11/19,lasmiditan,No,4439,3177,1262,0,NCT02439320,NCT02605174,,,,,,
1,Scenesse,,,,TRUE,,,,,,,,,,,Scenesse (afamelanotide) is a selective agonist of the melanocortin 1 receptor (MC1R) indicated for the prevention of phototoxicity in adult patients with erythropoietic protoporphyria (EPP).,Clinuvel Pharmaceuticals Ltd.,Prevention of Phototoxicity in Erythropoietic Protoporphyria,8-Oct-19,10/8/19,afamelanotide,No,167,86,81,0,NCT01605136,NCT00979745,,,,,,
1,Beovu,,,,,,,,,,,,,TRUE,,Beovu (brolucizumab-dbll) is a human vascular endothelial growth factor (VEGF) inhibitor indicated for the treatment of neovascular (wet) age-related macular degeneration (AMD).,Novartis,Macular Degeneration,7-Oct-19,10/7/19,brolucizumab-dbll,No,1459,730,729,0,NCT02307682,NCT02434328,,,,,,
1,Aklief,,,,TRUE,,,,,,,,,,,Aklief (trifarotene) is a topical retinoid indicated for the treatment of acne vulgaris in patients 9 years of age and older.,Galderma,Acne,4-Oct-19,10/4/19,trifarotene,No,2420,1214,1206,0,NCT02566369,NCT02556788,,,,,,
1,Ibsrela,TRUE,,,,,,,,,,,,,,"Ibsrela (tenapanor) is a first-in-class, sodium/hydrogen exchanger 3 (NHE3) inhibitor indicated for the treatment of adults with irritable bowel syndrome with constipation (IBS-C).","Ardelyx, Inc",Irritable Bowel Syndrome,12-Sep-19,9/12/19,tenapanor,No,1199,600,599,0,NCT02686138,NCT02621892,,,,,,
1,Nourianz,,,,,,,,,,TRUE,,,,,Nourianz (istradefylline) is an adenosine A2A receptor antagonist indicated for use as an adjunctive treatment to levodopa/carbidopa in adult patients with Parkinsonäó»s disease (PD) experiencing äóìOFFäó episodes.,"Kyowa Kirin, Inc.",Parkinson's Disease,27-Aug-19,8/27/19,istradefylline,No,1143,723,420,0,NCT00456586,NCT00199407,NCT00455507,NCT00955526,,,,
1,Xenleta,,,,,,,TRUE,,,,,,,,"Xenleta (lefamulin) is a first-in-class, semi-synthetic pleuromutilin antibiotic for the treatment of community-acquired bacterial pneumonia (CABP).",Nabriva Therapeutics plc,Pneumonia,19-Aug-19,8/19/19,lefamulin,No,1289,646,0,643,NCT02559310,NCT02813694,,,,,,
1,Rinvoq,,,,,,,,TRUE,,,,,,,Rinvoq (upadacitinib) is a Janus kinase (JAK) inhibitor for the treatment of adult patients with moderate to severe rheumatoid arthritis.,AbbVie Inc.,Rheumatoid Arthritis,16-Aug-19,8/16/19,upadacitinib,No,3141,1570,1041,530,NCT02706873,NCT02706951,NCT02675426,NCT02629159,NCT02706847,,,
1,Inrebic,,,,,,,,TRUE,,,,,,,Inrebic (fedratinib) is a highly selective JAK2 inhibitor for the treatment of patients with myelofibrosis.,Celgene Corporation,Myelofibrosis,16-Aug-19,8/16/19,fedratinib,No,289,193,96,0,NCT01437787,,,,,,,
1,Rozlytrek,,,,,,,,TRUE,,,,,,,"Rozlytrek (entrectinib) is a selective tyrosine kinase inhibitor for the treatment of patients with ROS1-positive, metastatic non-small cell lung cancer and neurotrophic tyrosine receptor kinase (NTRK) gene fusion-positive solid tumors.","Genentech, Inc.","Solid Tumors, Non-Small Cell Lung Cancer",15-Aug-19,8/15/19,entrectinib,No,54,54,0,0,NCT02097810,NCT02568267,EudraCT 2012-000148-88æ,,,,,
1,Wakix,,,,,,,,,,TRUE,,,,,Wakix (pitolisant) is a histamine-3 (Hä‰€) receptor antagonist/inverse agonist for the treatment of excessive daytime sleepiness (EDS) in adult patients with narcolepsy.,"Harmony Biosciences, LLC",Narcolepsy,14-Aug-19,8/14/19,pitolisant,No,159,97,62,0,NCT01067222,NCT01638403,,,,,,
1,pretomanid,,,,,,,TRUE,,,,,,,,"Pretomanid is a nitroimidazooxazine antimycobacterial indicated for use in combination with bedaquiline and linezolid (the BPaL regimen) for the treatment of adults with pulmonary extensively drug resistant (XDR), treatment-intolerant or nonresponsive multidrug-resistant (MDR) tuberculosis (TB).",TB Alliance,Tuberculosis -- Resistant,14-Aug-19,8/14/19,pretomanid,No,107,107,0,0,NCT02333799,,,,,,,
1,Turalio,,,,,,,,TRUE,,,,,,,Turalio (pexidartinib) is a kinase inhibitor indicated for the treatment of symptomatic tenosynovial giant cell tumor (TGCT) in adults.,"Daiichi Sankyo Company, Limited",Tenosynovial Giant Cell Tumor,2-Aug-19,8/2/19,pexidartinib,No,120,61,59,0,NCT02371369,,,,,,,
1,Nubeqa,,,,,,,,TRUE,,,,,,,Nubeqa (darolutamide) is an androgen receptor inhibitor (ARi) indicated for the treatment of non-metastatic castration-resistant prostate cancer (nmCRPC).,Bayer,Prostate Cancer,30-Jul-19,7/30/19,darolutamide,No,1509,955,554,0,NCT02200614,,,,,,,
1,Accrufer,,TRUE,,,,,,,,,,,,,Accrufer (ferric maltol) is a non-salt formulation of ferric iron for the treatment of iron deficiency in adults.,Shield Therapeutics plc,Iron Deficiency,25-Jul-19,7/25/19,ferric maltol,No,295,175,120,0,NCT01252221,NCT01340872,NCT02968368,,,,,
1,Recarbrio,,,,,,,TRUE,,,,,,,,"Recarbrio (imipenem, cilastatin, and relebactam) is a combination of imipenem, a penem antibacterial, cilastatin, a renal dehydropeptidase inhibitor, and relebactam, a betalactamase inhibitor, indicated for the treatment of complicated urinary tract infections and complicated intra-abdominal infections (cIAI).",Merck,"Urinary Tract Infection, Intraabdominal Infection",16-Jul-19,7/16/19,"imipenem, cilastatin, and relebactam",No,0,0,0,0,The contribution of relebactam to RECARBRIO was primarily established in vitro and in animal models of infection,,,,,,,
1,Xpovio,,,,,,,,TRUE,,,,,,,Xpovio (selinexor) is a first in class Selective Inhibitor of Nuclear Export (SINE) XPO1 antagonist for the treatment of patients adult patients with relapsed or refractory multiple myeloma (RRMM).,Karyopharm Therapeutics Inc.,Multiple Myeloma,3-Jul-19,7/3/19,selinexor,No,83,83,0,0,NCT02336815,,,,,,,
1,Vyleesi,,,,,TRUE,,,,,,,,,,Vyleesi  (bremelanotide) is a melanocortin receptor agonist for the treatment of hypoactive sexual desire disorder (HSDD) in premenopausal women.,"AMAG Pharmaceuticals, Inc.",Hypoactive Sexual Desire Disorder,21-Jun-19,6/21/19,bremelanotide,No,1198,595,603,0,NCT02333071,NCT02338960,,,,,,
1,Polivy,,,,,,,,TRUE,,,,,,,"Polivy (polatuzumab vedotin-piiq) is a CD79b-directed antibody drug conjugate indicated in combination with bendamustine and rituximab for the treatment of adults with relapsed or refractory diffuse large B-cell lymphoma, who have received at least two prior therapies.","Genentech, Inc.",Diffuse Large B-Cell Lymphoma,10-Jun-19,6/10/19,polatuzumab vedotin-piiq,No,80,40,0,40,NCT02257567,,,,,,,
1,Piqray,,,,,,,,TRUE,,,,,,,"Piqray (alpelisib) is a kinase inhibitor indicated in combination with fulvestrant for the treatment of postmenopausal women, and men, with HR positive, HER2-negative, PIK3CA-mutated breast cancer.",Novartis,Breast Cancer,24-May-19,5/24/19,alpelisib,No,341,169,172,0,NCT02437318,,,,,,,
1,Vyndaqel,,,,,,,,,,TRUE,,,,,Vyndaqel (tafamidis meglumine) is a transthyretin stabilizer indicated for the treatment of the cardiomyopathy of wild type or hereditary transthyretin-mediated amyloidosis.,Pfizer Inc.,Cardiomyopathy of Transthyretin-Mediated Amyloidosis,3-May-19,5/3/19,tafamidis meglumine,No,441,264,177,0,NCT01994889,,,,,,,
1,Skyrizi,,,,,,,,TRUE,,,,,,,Skyrizi (risankizumab-rzaa) is an interleukin-23 (IL-23) inhibitor for the treatment of plaque psoriasis.,AbbVie Inc.,Plaque Psoriasis,23-Apr-19,4/23/19,risankizumab-rzaa,No,1305,1005,300,0,NCT02684370,NCT02684357,NCT02672852,NCT02694523,,,,
1,Balversa,,,,,,,,TRUE,,,,,,,"Balversa (erdafitinib) is a once-daily, oral, pan-fibroblast growth factor receptor for the treatment of patients with locally advanced or metastatic urothelial cancer.","Janssen Pharmaceuticals, Inc.",Urothelial Carcinoma,12-Apr-19,4/12/19,erdafitinib,No,87,87,0,0,NCT02365597,,,,,,,
1,Evenity,,,,,,,,,TRUE,,,,,,Evenity (romosozumab) is an anti-sclerostin monoclonal antibody for the treatment of osteoporosis in postmenopausal women at increased risk of fracture.,Amgen Inc.,Osteoporosis,9-Apr-19,4/9/19,romosozumab,No,11273,5635,3591,2047,NCT01575834,NCT01631214,,,,,,
1,Mayzent,,,,,,,,TRUE,,,,,,,"Mayzent (siponimod) is a sphingosine-1-phosphate receptor modulator for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults.",Novartis,Multiple Sclerosis,26-Mar-19,3/26/19,siponimod,No,1645,1099,546,0,NCT01665144,,,,,,,
1,Sunosi,,,,,,,,,,TRUE,,,,,Sunosi (solriamfetol) is a selective dopamine and norepinephrine reuptake inhibitor (DNRI) for the treatment of excessive sleepiness in adult patients with narcolepsy or obstructive sleep apnea (OSA).,Jazz Pharmaceuticals plc,"Narcolepsy, Obstructive Sleep Apnea/Hypopnea Syndrome",20-Mar-19,3/20/19,solriamfetol,No,918,543,375,0,NCT02348593,NCT02348606,NCT02348619,NCT02348632,,,,
1,Zulresso,,,,,,,,,,TRUE,,,,,Zulresso (brexanolone) is a gamma-aminobutyric acid A (GABAA) receptor positive allosteric modulator indicated for the treatment of postpartum depression (PPD).,Sage Therapeutics,Postpartum Depression,19-Mar-19,3/19/19,brexanolone,No,226,130,96,0,NCT02942004,NCT02942017,,,,,,
1,Rocklatan,,,,,,,,,,,,,TRUE,,"Rocklatan (netarsudil and latanoprost ophthalmic solution) is a fixed dose combination of the Rho kinase inhibitor netarsudil (Rhopressa) and the prostaglandin F2‘± analogue latanoprost (Xalatan), indicated to reduce elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension.","Aerie Pharmaceuticals, Inc.","Glaucoma (Open Angle), Intraocular Hypertension",12-Mar-19,3/12/19,netarsudil and latanoprost ophthalmic solution,No,1468,499,0,969,NCT02558400,NCT02674854,,,,,,
1,Egaten,,,,,,,,,,,TRUE,,,,"Egaten (triclabendazole) is a benzimidazole anthelmintic indicated for the treatment of fascioliasis,  a neglected tropical disease (NTD) caused by liver flukes Fasciola hepatica and Fasciola gigantica.",Novartis,Fascioliasis,13-Feb-19,2/13/19,triclabendazole,No,466,466,0,0,The FDA approved EGATEN based primarily on evidence from 9 clinical trials of 466 patients with fascioliasisƒ.these were old trials and not conducted under FDA authority.,,,,,,,
1,Cablivi,,TRUE,,,,,,,,,,,,,"Cablivi (caplacizumab-yhdp) is a von Willebrand factor (vWF)-directed antibody fragment indicated for the treatment of adult patients with acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasma exchange and immunosuppressive therapy.",Ablynx NV,Acquired Thrombotic Thrombocytopenic Purpura,6-Feb-19,2/6/19,caplacizumab-yhdp,No,145,72,73,0,NCT02553317,NCT01151423,,,,,,
1,Jeuveau,,,,TRUE,,,,,,,,,,,Jeuveau (prabotulinumtoxinA) is a proprietary 900 kDa purified botulinum toxin type A formulation for the temporary improvement in the appearance of moderate to severe glabellar (frown) lines.,"Evolus, Inc.",Glabellar Lines,1-Feb-19,2/1/19,prabotulinumtoxinA,No,654,492,162,0,NCT02334423,NCT02334436,,,,,,
1,Ultomiris,,,,,,,,TRUE,,,,,,,Ultomiris (ravulizumab-cwvz) is a long-acting C5 complement inhibitor for:,"Alexion Pharmaceuticals, Inc.","Paroxysmal Nocturnal Hemoglobinuria, Hemolytic Uremic Syndrome",21-Dec-18,12/21/18,ravulizumab-cwvz,No,441,222,0,219,NCT02946463,NCT03056040,,,,,,
1,Elzonris,,,,,,,,TRUE,,,,,,,Elzonris (tagraxofusp-erzs) is a CD123-directed cytotoxin for the treatment of blastic plasmacytoid dendritic cell neoplasm (BPDCN).,"Stemline Therapeutics, Inc.",Blastic Plasmacytoid Dendritic Cell Neoplasm,21-Dec-18,12/21/18,tagraxofusp-erzs,No,28,28,0,0,NCT02113982,NCT02113982,,,,,,
1,Asparlas,,,,,,,,TRUE,,,,,,,Asparlas (calaspargase pegol-mknl) is an asparagine specific enzyme indicated as a component of a multi-agent chemotherapy regimen for the treatment of acute lymphoblastic leukemia.,Servier Pharmaceuticals LLC,Acute Lymphoblastic Leukemia,20-Dec-18,12/20/18,calaspargase pegol-mknl,No,124,124,0,0,NCT01574274,NCT00671034,,,,,,
1,Motegrity,TRUE,,,,,,,,,,,,,,Motegrity (prucalopride) is a selective serotonin type 4 receptor agonist for the treatment of chronic idiopathic constipation (CIC) in adults.,Shire plc,Chronic Idiopathic Constipation,14-Dec-18,12/14/18,prucalopride,No,2484,1237,1247,0,NCT01116206,NCT01147926,NCT00488137,NCT00483886,NCT00485940,NCT01424228,,
1,Xospata,,,,,,,,TRUE,,,,,,,Xospata (gilteritinib) is a FLT3/AXL kinase inhibitor indicated for the treatment of patients who have relapsed or refractory acute myeloid leukemia (AML) with a FLT3 mutation as detected by an FDA-approved test.,Astellas Pharma Inc.,Acute Myeloid Leukemia,28-Nov-18,11/28/18,gilteritinib,No,138,138,0,0,NCT02421939,,,,,,,
1,Firdapse,,,,,,,,,,TRUE,,,,,"Firdapse (amifampridine phosphate) is a nonspecific, voltage-dependent, potassium (K+) channel blocker for the treatment of Lambert Eaton myasthenic syndrome (LEMS) in adults.","Catalyst Pharmaceuticals, Inc.",Lambert Eaton Myasthenic Syndrome,28-Nov-18,11/28/18,amifampridine phosphate,No,64,29,35,0,NCT01377922,NCT02970162,,,,,,
1,Vitrakvi,,,,,,,,TRUE,,,,,,,Vitrakvi (larotrectinib) is an oral selective tropomyosin receptor kinase (TRK) inhibitor for the treatment solid tumors harboring NTRK-fusion proteins.,"Loxo Oncology, Inc.",TRK Fusion Cancers,26-Nov-18,11/26/18,larotrectinib,No,55,55,0,0,NCT02122913,NCT02637687,NCT02576431,,,,,
1,Daurismo,,,,,,,,TRUE,,,,,,,Daurismo (glasdegib) is a hedgehog pathway inhibitor indicated for the combination treatment of adult patients äŠ«75 years with newly-diagnosed acute myeloid leukemia (AML).,Pfizer Inc.,Acute Myeloid Leukemia,21-Nov-18,11/21/18,glasdegib,No,115,77,0,38,NCT01546038,,,,,,,
1,Gamifant,,,,,,,,TRUE,,,,,,,Gamifant (emapalumab-lzsg) is an interferon gamma (IFN‘_) blocking antibody for the treatment of patients with primary hemophagocytic lymphohistiocytosis (HLH).,Novimmune SA,Hemophagocytic Lymphohistiocytosis,20-Nov-18,11/20/18,emapalumab-lzsg,No,27,27,0,0,NCT01818492,NCT02069899,,,,,,
2,Aemcolo,,,,,,,TRUE,,,,,,TRUE,,"Aemcolo (rifamycin) is a broad spectrum, orally non-absorbable antibiotic for the treatment of traveleräó»s diarrhea caused by noninvasive strains of Escherichia coli.","Cosmo Technologies, Ltd.",Traveler's Diarrhea,16-Nov-18,11/16/18,rifamycin,No,264,199,65,0,NCT01142089,NCT01208922,,,,,,
1,Yupelri,,,,,,,,,,,,TRUE,,,Yupelri (revefenacin) is a long-acting muscarinic antagonist (LAMA) for the treatment of chronic obstructive pulmonary disease (COPD).,"Theravance Biopharma, Inc.",Chronic Obstructive Pulmonary Disease,9-Nov-18,11/9/18,revefenacin,No,812,395,417,0,NCT02459080,NCT02512510,,,,,,
1,Lorbrena,,,,,,,,TRUE,,,,,,,Lorbrena (lorlatinib) is an anaplastic lymphoma kinase (ALK) tyrosine kinase inhibitor (TKI) for the treatment of patients with ALK-positive metastatic non-small cell lung cancer (NSCLC).,Pfizer Inc.,Non-Small Cell Lung Cancer,2-Nov-18,11/2/18,lorlatinib,No,215,215,0,0,NCT01970865,,,,,,,
1,Xofluza,,,,,,,TRUE,,,,,,,,"Xofluza (baloxavir marboxil) is a polymerase acidic (PA) endonuclease inhibitor for the treatment of influenza (the flu) in people 12 years of age and older who have had flu symptoms for no more than 48 hours and who are otherwise healthy, or at high risk of developing flu-related complications.","Genentech, Inc.",Influenza,24-Oct-18,10/24/18,baloxavir marboxil,No,885,555,330,0,Studyæ1518T0821,NCT02954354,,,,,,
1,Talzenna,,,,,,,,TRUE,,,,,,,Talzenna (talazoparib) is an oral poly ADP ribose polymerase (PARP) inhibitor indicated for the treatment of patients with deleterious or suspected deleterious germline BRCA-mutated (gBRCAm) HER2-negative locally advanced or metastatic breast cancer.,Pfizer Inc.,Breast Cancer,16-Oct-18,10/16/18,talazoparib,No,431,287,0,144,NCT01945775,,,,,,,
1,Tegsedi,,,,,,,,,,TRUE,,,,,Tegsedi (inotersen) is an antisense oligonucleotide inhibitor of the transthyretin (TTR) protein for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults. ,"Ionis Pharmaceuticals, Inc.",Amyloidogenic Transthyretin Amyloidosis,5-Oct-18,10/5/18,inotersen,No,173,113,60,0,NCT 01737398,,,,,,,
1,Revcovi,,,,,,,,TRUE,,,,,,,Revcovi (elapegademase-lvlr) is a recombinant adenosine deaminase indicated for the treatment of adenosine deaminase severe combined immune deficiency (ADA-SCID).,"Leadiant Biosciences, Inc.",Adenosine Deaminase Severe Combined Immune,5-Oct-18,10/5/18,elapegademase-lvlr,No,10,10,0,0,NCT01420627,STM-279-301,,,,,,
1,Nuzyra,,,,,,,TRUE,,,,,,,,Nuzyra (omadacycline) is an aminomethylcycline tetracycline antibiotic for the treatment of community-acquired bacterial pneumonia (CABP) and acute bacterial skin and skin structure infections (ABSSSI).,"Paratek Pharmaceuticals, Inc.","Skin and Structure Infection, Pneumonia",2-Oct-18,10/2/18,omadacycline,No,2164,1083,0,1081,NCT02531438,NCT02378480,NCT02877927,,,,,
1,Seysara,,,,,,,TRUE,,,,,,,,"Seysara (sarecycline) is an oral, narrow spectrum tetracycline-derived antibiotic for the treatment of inflammatory lesions of non-nodular moderate to severe acne vulgaris.","Almirall, S.A.",Acne,1-Oct-18,10/1/18,sarecycline,No,2002,1002,1000,0,NCT02320149,NCT02322866,,,,,,
1,Libtayo,,,,,,,,TRUE,,,,,,,Libtayo (cemiplimab-rwlc) is a programmed death receptor-1 (PD-1) blocking antibody indicated for the treatment of patients with metastatic cutaneous squamous cell carcinoma (CSCC).,Sanofi,Squamous Cell Carcinoma,28-Sep-18,9/28/18,cemiplimab-rwlc,No,108,108,0,0,NCT02383212,NCT02760498,,,,,,
1,Emgality,,,,,,,,,,TRUE,,,,,"Emgality (galcanezumab-gnlm) is a calcitonin gene-related peptide (CGRP) antagonist indicated for the preventive treatment of migraine, and for the treatment of episodic cluster headache.",Eli Lilly and Company,"Migraine Prophylaxis, Cluster Headache",27-Sep-18,9/27/18,galcanezumab-gnlm,No,2831,1418,1413,0,NCT02614183,NCT02614196,NCT02614261,,,,,
1,Vizimpro,,,,,,,,TRUE,,,,,,,"Vizimpro (dacomitinib) is an oral, once-daily, irreversible pan-human epidermal growth factor receptor tyrosine kinase inhibitor (TKI) indicated for the treatment of metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as detected by an FDA-approved test.",Pfizer Inc.,Non-Small Cell Lung Cancer,27-Sep-18,9/27/18,dacomitinib,No,452,227,0,225,NCT01774721,,,,,,,
1,Copiktra,,,,,,,,TRUE,,,,,,,"Copiktra (duvelisib) is a first-in-class, oral, dual phosphoinositide-3-kinase (PI3K)-delta/PI3K-gamma inhibitor for the treatment relapsed or refractory chronic lymphocytic leukemia/small lymphocytic lymphoma (CLL/SLL) and relapsed or refractory follicular lymphoma (FL).","Verastem, Inc.","Chronic Lymphocytic Leukemia, Follicular Lymphoma",24-Sep-18,9/24/18,duvelisib,No,279,178,0,101,NCT02004522,NCT02204982,,,,,,
1,Ajovy,,,,,,,,,,TRUE,,,,,Ajovy (fremanezumab) is a fully-humanized monoclonal antibody targeting the calcitonin gene-related peptide (CGRP) ligand indicated for the preventive treatment of migraine.,Teva Pharmaceutical Industries Ltd.,Migraine Prophylaxis,14-Sep-18,9/14/18,fremanezumab,No,1986,1325,661,0,NCT02629861,NCT02621931,,,,,,
1,Lumoxiti,,,,,,,,TRUE,,,,,,,Lumoxiti (moxetumomab pasudotox-tdfk) is an anti-CD22 recombinant immunotoxin for the treatment of adult patients with hairy cell leukemia.,AstraZeneca and MedImmune,Hairy Cell Leukemia,13-Sep-18,9/13/18,moxetumomab pasudotox-tdfk,No,80,80,0,0,NCT01829711,,,,,,,
1,Pifeltro,,,,,,,TRUE,,,,,,,,Pifeltro (doravirine) is a non-nucleoside reverse transcriptase inhibitor (NNRTI) indicated for the treatment of HIV-1 infection.,Merck,HIV Infection,30-Aug-18,8/30/18,doravirine,No,1494,747,0,747,NCT02275780,NCT02403674,,,,,,
1,Xerava,,,,,,,TRUE,,,,,,,,Xerava (eravacycline) is a fluorocycline antibiotic indicated for the treatment of complicated intra-abdominal infections.,"Tetraphase Pharmaceuticals, Inc.",Complicated Intra-Abdominal Infections,27-Aug-18,8/27/18,eravacycline,No,846,415,0,431,NCT01844856,NCT02784704,,,,,,
1,Takhzyro,,TRUE,,,,,,,,,,,,,Takhzyro (lanadelumab-flyo) is a plasma kallikrein inhibitor (monoclonal antibody) for the prevention of angioedema attacks in patients with hereditary angioedema.,Shire plc,Hereditary Angioedema,23-Aug-18,8/23/18,lanadelumab-flyo,No,125,84,41,0,NCT02586805,NCT02741596,,,,,,
1,Oxervate,,,,,,,,,,,,,TRUE,,Oxervate (cenegermin) is a recombinant human nerve growth factor (rhNGF) ophthalmic solution indicated for the treatment of neurotrophic keratitis.,Dompí© farmaceutici SpA,Neurotrophic Keratitis,22-Aug-18,8/22/18,cenegermin,No,148,73,75,0,NCT01756456,NCT02227147,,,,,,
