checked?,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,company,condition,dates_clean,approval_date,,generic_name,generic_name_fw,Biosimilar or new formulation?,total_pts_rct,txt_pts_rct,placebo_pts_rct,comparator_pts_rct,trial_name,,NCTid,,Accelerated?
,Mycamine,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"Mycamine (micafungin sodium) is an echinocandin antifungal agent used for the prophylaxis of Candida infections in patients undergoinghematopoietic stem cell transplantation, for the treatment of esophageal candidiasis and candidemia.","Fujisawa Healthcare, Inc.","Esophageal Candidiasis, Fungal Infection Prophylaxis, Candidemia",16-Mar-05,3/16/05,,micafungin sodium,micafungin,,,,,,,,,,
,Symlin,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symlin (pramlintide acetate) is an antihyperglycemic drug for use in patientswith diabetes treated with insulin.","Amylin Pharmaceuticals, Inc.","Diabetes Type 1, Diabetes Type 2",16-Mar-05,3/16/05,,pramlintide acetate,pramlintide,,,,,,,,,,
,Xibrom,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Xibrom (bromfenac) is an ophthalmic nonsteroidal antiinflammatory drug (NSAID) for the treatment of postoperative pain and inflammation in patients who have undergone cataract extraction.,"ISTA Pharmaceuticals, Inc.",Postoperative Ocular Inflammation,24-Mar-05,3/24/05,,bromfenac,bromfenac,,,,,,,,,,
,Baraclude,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Baraclude (entecavir) is a nucleoside analogue oral antiviral therapy for the treatment of chronic hepatitis B in adults.,Bristol-Myers Squibb Company,Chronic Hepatitis B,29-Mar-05,3/29/05,,entecavir,entecavir,,,,,,,,,,
,Asmanex,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,Asmanex Twisthaler (mometasone furoate) is an inhaled corticosteroid for the treatment of asthma.,Schering-Plough Corporation,Asthma,30-Mar-05,3/30/05,,mometasone furoate,mometasone,,,,,,,,,,
,Daytrana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daytrana is a once daily transdermal patch formulation of methylphenidate indicated for the treatment of attention deficit hyperactivity disorder (ADHD).,"Shire Pharmaceuticals Group plc / Noven Pharmaceuticals, Inc.",Attention Deficit Hyperactivity Disorder (ADHD),6-Apr-06,4/6/06,,ADHD,ADHD,,,,,,,,,,
,Vivitrol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Vivitrol (naltrexone) is is an opioid antagonist indicated for the treatment of alcohol dependence and opioid dependence.,"Alkermes, Inc.",Alcohol Dependence,13-Apr-06,4/13/06,,naltrexone,naltrexone,,,,,,,,,,
,NeoProfen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NeoProfen is an intravenous formulation of ibuprofen lysine indicated to close a clinically significant patent ductus arteriosus (PDA) in premature infants, who are no more than 32 weeks gestational age when usual medical management is ineffective.","Farmacon-IL, LLC",Patent Ductus Arteriosus,13-Apr-06,4/13/06,,PDA,PDA,,,,,,,,,,
,Myozyme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myozyme is a recombinant formulation of the human enzyme acid alpha-glucosidase (GAA) indicated for use in patients with Pompe disease (GAA deficiency), a debilitating and often fatal muscle disorder.",Genzyme Corp.,Pompe disease,28-Apr-06,4/28/06,,GAA,GAA,,,,,,,,,,
,Perlane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perlane is a dermal filler forthe correction of moderate to severe facial folds and wrinkles, such as nasolabial folds.",Medicis,Facial Wrinkles,2-May-07,5/2/07,,NA,NA,,,,,,,,,,
,Supprelin-LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Supprelin-LA is a once-yearly implant of the gonadotropin releasing hormone (GnRH) analog histrelin, indicated for the treatment of central precocious puberty (CPP), the premature onset of puberty in children.","Indevus Pharmaceuticals, Inc.",Precocious Puberty,3-May-07,5/3/07,,GnRH,GnRH,,,,,,,,,,
,Neupro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Neupro (rotigotine) is a dopamine agonist transdermal system indicated for the treatment of Parkinsonâ€™s disease and Restless Legs Syndrome.,Schwarz Pharma,"Parkinson's Disease, Restless Legs Syndrome",9-May-07,5/9/07,,rotigotine,rotigotine,,,,,,,,,,
,Perforomist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perforomist is an inhalation solution formulation of the long-acting beta(2)-adrenergic agonist formoterol fumarate, indicated for the long-term, twice-daily maintenance treatment of bronchoconstriction for emphysema and chronic bronchitis, also known as Chronic Obstructive Pulmonary Disease (COPD).","Dey, L.P.",Chronic Obstructive Pulmonary Disease,11-May-07,5/11/07,,2,2,,,,,,,,,,
,Seroquel XR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Seroquel XR (quetiapine) is an atypical antipsychotic agent indicated for the acute and maintenance treatment of schizophrenia, bipolar disorder and as an adjunctivetreatment to antidepressants in adults with Major Depressive Disorder. ",AstraZeneca,"Schizophrenia, Bipolar Disorder, Depression",17-May-07,5/17/07,,quetiapine,quetiapine,,,,,,,,,,
,Lybrel,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lybrel (levonorgestrel and ethinyl estradiol) is a low-dose combination contraceptive pill taken continuously (without a pill-free interval) and over time may eliminate scheduled menstrual periods. Lybrel is indicated for the prevention of pregnancy.,Wyeth Pharmaceuticals Inc.,Contraception,22-May-07,5/22/07,,levonorgestrel and ethinyl estradiol,levonorgestrel,,,,,,,,,,
,Xyzal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Xyzal (levocetirizine) is an antihistamine for the relief of symptoms associated with allergic rhinitis and urticaria.,"UCB, Inc. and sanofi-aventis","Allergic Rhinitis, Allergic Urticaria",25-May-07,5/25/07,,levocetirizine,levocetirizine,,,,,,,,,,
,Torisel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Torisel (temsirolimus), an inhibitor of mTOR kinase, is an antineoplastic agent indicated for the treatment of patients with advanced renal cell carcinoma.","Wyeth Pharmaceuticals, Inc.",Renal Cell Carcinoma,30-May-07,5/30/07,,temsirolimus,temsirolimus,,,,,,,,,,
,Trivaris,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,"Trivaris (triamcinolone acetonide) is a glucocorticoid corticosteroid delivered via intravitreal injection for the treatment of sympathetic ophthalmia, temporalarteritis, uveitis, and ocular inflammatory conditions unresponsiveto topical corticosteroids.","Allergan, Inc.",Ocular Inflammatory Conditions,16-Jun-08,6/16/08,,triamcinolone acetonide,triamcinolone,,,,,,,,,,
,Pentacel,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrandiMet (repaglinide and metformin HCl) is a fixed-dose combination of the fast-acting secretagogue replaglinide (also known as Prandin) and insulin sensitizer,metformin, indicated for the treatment of type 2 diabetes.",Sanofi pasteur,"Diphtheria Prophylaxis, Tetanus Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Haemophilus influenzae Prophylaxis",20-Jun-08,6/20/08,,repaglinide and metformin HCl,repaglinide,,,,,,,,,,
,PrandiMet,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Durezol (difluprednate ophthalmic emulsion) is a topical steroid for the treatment of postoperative ocular inflammation and pain.,"Sciele Pharma, Inc. and Novo Nordisk Inc.",Diabetes Type 2,23-Jun-08,6/23/08,,difluprednate ophthalmic emulsion,difluprednate,,,,,,,,,,
,Durezol,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,"Trivaris (triamcinolone acetonide) is a glucocorticoid corticosteroid delivered via intravitreal injection for the treatment of sympathetic ophthalmia, temporalarteritis, uveitis, and ocular inflammatory conditions unresponsiveto topical corticosteroids.","Sirion Therapeutics, Inc.",Postoperative Ocular Inflammation,23-Jun-08,6/23/08,,triamcinolone acetonide,triamcinolone,,,,,,,,,,
,Kinrix,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrandiMet (repaglinide and metformin HCl) is a fixed-dose combination of the fast-acting secretagogue replaglinide (also known as Prandin) and insulin sensitizer,metformin, indicated for the treatment of type 2 diabetes.",GlaxoSmithKline,"Diphtheria Prophylaxis, Tetanus Prophylaxis, Poliomyelitis Prophylaxis, Pertussis Prophylaxis",24-Jun-08,6/24/08,,repaglinide and metformin HCl,repaglinide,,,,,,,,,,
,Evolence,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Durezol (difluprednate ophthalmic emulsion) is a topical steroid for the treatment of postoperative ocular inflammation and pain.,OrthoNeutrogena,Facial Wrinkles,27-Jun-08,6/27/08,,difluprednate ophthalmic emulsion,difluprednate,,,,,,,,,,
,Multaq,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Multaq (dronedarone) is antiarrhythmic drug indicated to reduce the risk of cardiovascular hospitalization in patients with atrial fibrillation or atrial flutter.,Sanofi-aventis,"Atrial Fibrillation, Atrial Flutter",1-Jul-09,7/1/09,,dronedarone,dronedarone,,,,,,,,,,
,Effient,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Effient (prasugrel) is an oral antiplatelet agent for the treatment of patients with acute coronary syndrome (ACS) who are managed with percutaneous coronary intervention including coronary stenting.,"Daiichi Sankyo Company, Limited and Eli Lilly and Company",Acute Coronary Syndrome,10-Jul-09,7/10/09,,prasugrel,prasugrel,,,,,,,,,,
,Plan B One-Step,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Plan B One-Step (levonorgestrel) is a single dose emergency contraceptive pill to help prevent an unintended pregnancy after unprotected sex or contraceptive failure.,"Teva Pharmaceuticals, Inc.",Emergency Contraception,10-Jul-09,7/10/09,,levonorgestrel,levonorgestrel,,,,,,,,,,
,Sumavel DosePro,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"Sumavel DosePro (sumatriptan injection) is a needle-free delivery system to treat acute migraine (with or without aura), and cluster headache.","Zogenix, Inc.","Migraine, Cluster Headache",15-Jul-09,7/15/09,,sumatriptan injection,sumatriptan,,,,,,,,,,
,Onsolis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Onsolis (fentanyl) is an opioid agonist in a buccal formulation indicated for the management of breakthrough pain in cancer patients.,"BioDelivery Sciences International, Inc.",Pain,16-Jul-09,7/16/09,,fentanyl,fentanyl,,,,,,,,,,
,Acuvail,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,"Acuvail (ketorolac tromethamine) is a preservative-free formulation of ketorolac, a nonsteroidal anti-inflammatory drug (NSAID) indicated for the treatment of pain and inflammation following cataract surgery.","Allergan, Inc.",Postoperative Ocular Inflammation,22-Jul-09,7/22/09,,ketorolac tromethamine,ketorolac,,,,,,,,,,
,Tyvaso,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tyvaso (treprostinil) is an inhaled prostanoid analogue indicated for the treatment of pulmonary arterial hypertension.,United Therapeutics Corporation,Pulmonary Hypertension,30-Jul-09,7/30/09,,treprostinil,treprostinil,,,,,,,,,,
,Colcrys,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Colcrys (colchicine) is compound derived from the dried seeds of the autumn crocus or meadow saffron (Colchicumautumnale). Colcrys is approved for the prophylaxis and treatment of acute gout flares, and for the treatment of patients with familial Mediterranean fever. ","Mutual Pharmaceutical Company, Inc.","Gout, Familial Mediterranean Fever, Gout -- Prophylaxis, Acute Gout",29-Jul-09,7/29/09,,colchicine,colchicine,,,,,,,,,,
,Onglyza,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Onglyza (saxagliptin) is a dipeptidyl peptidase-4 (DPP4) inhibitor indicated for the treatment of type 2 diabetes mellitus in adults. ,AstraZeneca,Diabetes Type 2,31-Jul-09,7/31/09,,saxagliptin,saxagliptin,,,,,,,,,,
,Invega Sustenna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Invega Sustenna (1-month paliperidone palmitate) is a  long-acting injectable atypical antipsychotic indicated for the treatment of schizophrenia and schizoaffective disorder.","Janssen Pharmaceuticals,  Inc.","Schizophrenia, Schizoaffective Disorder",31-Jul-09,7/31/09,,1-month paliperidone palmitate,1,,,,,,,,,,
,Xerese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xerese (acyclovir and hydrocortisone) is a topical antiviral and anti-inflammatory combination for the prevention and treatment of cold sores.,Meda Pharmaceuticals Inc.,Herpes Simplex Labialis,31-Jul-09,7/31/09,,acyclovir and hydrocortisone,acyclovir,,,,,,,,,,
,Niravam,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Niravam (alprazolam) is an orally disintegrating benzodiazepine indicated for the short-term relief of anxiety and panic attacks.,"Schwarz Pharma, Inc.","Anxiety, Panic Disorder",19-Jan-05,1/19/05,,alprazolam,alprazolam,,,,,,,,,,
,"Influenza Virus Vaccine, H5N1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influenza Virus Vaccine, H5N1 is a vaccine indicated for the prevention of H5N1 influenza virus, commonly referred to as avian influenza or ""bird flu.""",Sanofi Pasteur Inc.,Prevention of H5N1 Influenza (Avian Influenza),17-Apr-07,4/17/07,,NA,NA,,,,,,,,,,
,Divigel,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Divigel (estradiol) is a low dose topical estrogen gel, which is applied to the skin of the thigh once daily for the treatment of moderate to severe hot flashes associated with menopause.","Upsher-Smith Laboratories, Inc.",Postmenopausal Symptoms,4-Jun-07,6/4/07,,estradiol,estradiol,,,,,,,,,,
,Extavia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extavia is a branded version of interferon beta-1b, a first-line disease-modifying therapy that has been a standard-of-care for multiple sclerosis for many years. Extavia is indicated for the treatment of MS patients with relapsing forms of the disease and for newly diagnosed patients.",Novartis Pharmaceuticals Corporation,Multiple Sclerosis,14-Aug-09,8/14/09,,NA,NA,,,,,,,,,,
,Noures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nouress (cysteine hydrochloride) is a sulfur-containing amino acid indicated for use as an additiveto amino acids solutions to meet nutritional requirements of neonates requiring total parenteralnutrition.", Avadel Pharmaceuticals,neonatal patients requiring total parenteral nutrition,13-Dec-19,12/13/19,Noures,cysteine hydrochloride,cysteine,,,,,,,,,This one is weird; it's barely a drug. ,
,Vyondys 53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vyondys 53 (golodirsen) is a phosphordiamidate morpholino oligimer for the treatment of Duchenne muscular dystrophy (DMD) in patients with a confirmed mutation amenable to exon 53 skipping.,"Sarepta Therapeutics, Inc.",Duchenne Muscular Dystrophy,12-Dec-19,12/12/19,Vyondys 53,golodirsen,golodirsen,,26,,,,,,NCT02310906,,
,EluRyng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EluRyng (ethinyl estradiol/etonogestrel vaginal ring) is an estrogen/progestin combination hormonal contraceptive (CHC) indicated for use by women to prevent pregnancy.,"Amneal Pharmaceuticals, Inc.",Contraception,11-Dec-19,12/11/19,EluRyng,ethinyl estradiol/etonogestrel vaginal ring,ethinyl,,341,169,172,,,SOLAR-1,NCT02437318,,
,Avsola,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Avsola (infliximab-axxq) is a tumor necrosis factor (TNF) blocker biosimilar to Remicade indicated  for the treatment of Crohnâ€™s disease, ulcerative colitis, rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis and plaque psoriasis.",Amgen Inc.,"Crohn's Disease -- Maintenance, Ulcerative Colitis, Rheumatoid Arthritis, Ankylosing Spondylitis, Psoriatic Arthritis, Plaque Psoriasis",6-Dec-19,12/6/19,,infliximab-axxq,infliximab,Yes,,,,,,,,,
,RediTrex,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"RediTrex (methotrexate) is a folate analog metabolic inhibitor indicated for the management of rheumatoid arthritis (RA), polyarticular juvenile idiopathic arthritis (pJIA), and psoriasis.",Cumberland Pharmaceuticals Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriasis",27-Nov-19,11/27/19,RediTrex,methotrexate,methotrexate,Yes,,,,,,,,,
,Oxbryta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oxbryta (voxelotor) is an oral, HbS (sickle hemoglobin) polymerization inhibitor for the treatment of patients with sickle cell disease (SCD).","Global Blood Therapeutics, Inc.",Sickle Cell Anemia,25-Nov-19,11/25/19,Oxbryta,voxelotor,voxelotor,,182,91,91,,,,NCT03036813,,Yes
,Exservan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Exservan (riluzole) an oral film formulation of the approved glutamate Inhibitor riluzole for the treatment of patients with amyotrophic lateral sclerosis (ALS) patients who have difficulty swallowing.,"Aquestive Therapeutics, Inc.",Amyotrophic Lateral Sclerosis,22-Nov-19,11/22/19,Exservan,riluzole,riluzole,,655,441,214,,,,NCT01866111,NCT01397968,
,Xcopri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xcopri (cenobamate) is an antiepileptic drug for the treatment of partial-onset seizures in adult patients.,"SK Life Science, Inc.",Seizures,21-Nov-19,11/21/19,Xcopri,cenobamate,cenobamate,,655,441,214,,,,NCT01866111,NCT01397968,
,Givlaari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Givlaari (givosiran) is an aminolevulinate synthase 1-directed small interfering RNA (siRNA) indicated for the treatment of adults with acute hepatic porphyria (AHP).,"Alnylam Pharmaceuticals, Inc.",Acute Hepatic Porphyria,20-Nov-19,11/20/19,Givlaari,givosiran,givosiran,,94,48,46,,ENVISION,,NCT03338816,,
,Adakveo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adakveo (crizanlizumab-tmca) is a P-selectin inhibitor for the prevention of vaso-occlusive crises (VOCs) in patients with sickle cell disease (SCD).,Novartis,Prevention of Vaso-Occlusive Crises (VOCs) in Sickle Cell Disease,15-Nov-19,11/15/19,Adakveo,crizanlizumab-tmca,crizanlizumab,,198,133,65,,SUSTAIN,,NCT01895361,,
,Abrilada,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Abrilada (adalimumab-afzb) is a tumor necrosis factor (TNF) blocker biosimilar to Humira indicated for the treatment of rheumatoid arthritis (RA), juvenile idiopathic arthritis (JIA), psoriatic arthritis (PsA), ankylosing spondylitis (AS), Crohnâ€™s disease (CD), ulcerative colitis (UC), and plaque psoriasis (Ps).",Pfizer Inc.,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease -- Maintenance, Ulcerative Colitis, Plaque Psoriasis",15-Nov-19,11/15/19,,adalimumab-afzb,adalimumab,Yes,,,,,,,,,
,Brukinsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brukinsa (zanubrutinib) is a Brutonâ€™s tyrosine kinase (BTK) inhibitor indicated for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy.,"BeiGene, Ltd.",Mantle Cell Lymphoma,14-Nov-19,11/14/19,Brukinsa,zanubrutinib,zanubrutinib,,118,118,,,BGB-3111-206,BGB-3111-AU-003,NCT03206970,NCT02343120,
,Fetroja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fetroja (cefiderocol) is a siderophore cephalosporin indicated for the treatment of complicated urinary tract infections (cUTI) in patients with limited or no alternative treatment options.,"Shionogi & Co., Ltd.",Complicated Urinary Tract Infections,14-Nov-19,11/14/19,Fetroja,cefiderocol,cefiderocol,,448,300,,148,APEKS-cUTI,,NCT02321800,,
,Reblozyl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reblozyl (luspatercept-aamt) is a first-in-class erythroid maturation agent (EMA) for the treatment of transfusion-dependent beta-thalassemia-associated anemia.,Celgene Corporation,Beta-Thalassemia-Associated Anemia,8-Nov-19,11/8/19,Reblozyl,luspatercept-aamt,luspatercept,,336,224,112,,BELIEVE,,NCT02604433,,
,Talicia,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talicia (omeprazole magnesium, amoxicillin and rifabutin) is a fixed-dose combination of two antibiotics, (amoxicillin and rifabutin) and a proton pump inhibitor (omeprazole) for the treatment of Helicobacter pylori (H. pylori) infection.",RedHill Biopharma Ltd.,Helicobacter pylori Infection,4-Nov-19,11/4/19,Talicia,"omeprazole magnesium, amoxicillin and rifabutin",omeprazole,,573,305,41,227,,,NCT01980095,,
,Ziextenzo,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,Ziextenzo (pegfilgrastim-bmez) is a PEGylated growth colony-stimulating factor biosimilar to Neulasta (pegfilgrastim) used to reduce the incidence of febrile neutropenia in patients treated with chemotherapy.,Sandoz,Neutropenia Associated with Chemotherapy,4-Nov-19,11/4/19,Ziextenzo,pegfilgrastim-bmez,pegfilgrastim,Yes,,,,,,,,,
