ActiveIngredient,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,SubmissionsPublicNotes,ReviewPriority,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,dates,company,condition,dates_clean,approval_date,generic_name,generic_name_fw
DIENOGEST; ESTRADIOL VALERATE,ORIG,1,AP,2010-05-06T00:00:00Z,NA,STANDARD,natazia,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natazia (dienogest and estradiol valerate) is a combination oral contraceptive indicated for use by women to prevent pregnancy and to treat heavy menstrual bleeding.,"May 6, 2010",Bayer HealthCare Pharmaceuticals Inc.,"Contraception, Heavy Menstrual Bleeding","May 6, 2010",2010-05-06,dienogest and estradiol valerate,dienogest
ALOGLIPTIN BENZOATE,ORIG,1,AP,2013-01-25T00:00:00Z,NA,STANDARD,nesina,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nesina (alogliptin) is a dipeptidyl peptidase-4 (DPP-4) inhibitor for the treatment of type 2 diabetes.,"January 25, 2013Company: Takeda Pharmaceutical ",Takeda Pharmaceutical Company Limited ,Diabetes Type 2,"January 25, 2013",2013-01-25,alogliptin,alogliptin
LIRAGLUTIDE RECOMBINANT,ORIG,1,AP,2010-01-25T00:00:00Z,NA,STANDARD,victoza,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Victoza (liraglutide) is a glucagon-like peptide-1 (GLP-1) receptor agonist indicated to improve glycemic control in patients 10 years and older with type 2 diabetes mellitus, and to reduce the risk of heart attack, stroke and cardiovascular death in adults with type 2 diabetes and established cardiovascular disease.","January 25, 2010",Novo Nordisk A/S,Diabetes Type 2,"January 25, 2010",2010-01-25,liraglutide,liraglutide
EZOGABINE,ORIG,1,AP,2011-06-10T00:00:00Z,NA,STANDARD,potiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Potiga (ezogabine) is a potassium channel opener indicated for the adjunctive treatment of adults with partial-onset seizures.,"June 10, 2011",GlaxoSmithKline and Valeant Pharmaceuticals International,Seizures,"June 10, 2011",2011-06-10,ezogabine,ezogabine
INDACATEROL MALEATE,ORIG,1,AP,2011-07-01T00:00:00Z,NA,STANDARD,arcapta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,Arcapta (indacaterol inhalation powder) is a long-acting beta2-agonist (LABA) for the long-term maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD). ,"July 1, 2011",Novartis Pharmaceuticals Corp.,Chronic Obstructive Pulmonary Disease,"July 1, 2011",2011-07-01,indacaterol inhalation powder,indacaterol
GABAPENTIN ENACARBIL,ORIG,1,AP,2011-04-06T00:00:00Z,NA,STANDARD,horizant,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,Horizant (gabapentin enacarbil) is a  gabapentin prodrug indicated for the once-daily treatment of restless legs syndrome and postherpetic neuralgia.,"April 6, 2011","GlaxoSmithKline and XenoPort, Inc.","Restless Legs Syndrome, Postherpetic Neuralgia","April 6, 2011",2011-04-06,gabapentin enacarbil,gabapentin
VANDETANIB,ORIG,1,AP,2011-04-06T00:00:00Z,NA,PRIORITY,caprelsa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Caprelsa (vandetanib) is a kinase inhibitor indicated for the treatment of symptomatic or progressive medullary thyroid cancer in patients with unresectable (non-operable) locally advanced or metastatic disease.,"April 6, 2011",AstraZeneca,Thyroid Cancer,"April 6, 2011",2011-04-06,vandetanib,vandetanib
RIVAROXABAN,ORIG,1,AP,2011-07-01T00:00:00Z,NA,STANDARD,xarelto,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Xarelto (rivaroxaban) is a factor Xa inhibitor indicated:,"July 1, 2011","Janssen Pharmaceuticals, Inc.","Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Prevention of Thromboembolism in Atrial Fibrillation, Coronary Artery Disease, Peripheral Arterial Disease, Deep Vein Thrombosis, Pulmonary Embolism","July 1, 2011",2011-07-01,rivaroxaban,rivaroxaban
SPINOSAD,ORIG,1,AP,2011-01-18T00:00:00Z,NA,STANDARD,natroba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Natroba (spinosad) is a pediculicide indicated for the topical treatment of head lice infestations.,"January 18, 2011",ParaPRO LLC,Lice,"January 18, 2011",2011-01-18,spinosad,spinosad
ESLICARBAZEPINE ACETATE,ORIG,1,AP,2013-11-08T00:00:00Z,NA,STANDARD,aptiom,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,Aptiom (eslicarbazepine acetate) is a voltage-gated sodium channel blocker for the treatment of partial-onset seizures in patients with epilepsy.,"November 8, 2013",Sunovion Pharmaceuticals Inc.,"Epilepsy, Seizures","November 8, 2013",2013-11-08,eslicarbazepine acetate,eslicarbazepine
TICAGRELOR,ORIG,1,AP,2011-07-20T00:00:00Z,NA,STANDARD,brilinta,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Brilinta (ticagrelor) is a P2Y12 platelet inhibitor indicated to reduce the rate of 
thrombotic cardiovascular events in  patients with acute coronary syndrome.","July 20, 2011",AstraZeneca,Acute Coronary Syndrome,"July 20, 2011",2011-07-20,ticagrelor,ticagrelor
IOFLUPANE I-123,ORIG,1,AP,2011-01-14T00:00:00Z,NA,PRIORITY,datscan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DaTscan (ioflupane I 123 injection) is a radiopharmaceutical indicated for 
striatal dopamine transporter visualization using single photon emission 
computed tomography (SPECT) brain imaging to assist in the evaluation of 
adult patients with suspected Parkinsonian syndromes (PS).","January 14, 2011",GE Healthcare,Diagnostic,"January 14, 2011",2011-01-14,ioflupane I 123 injection,ioflupane
TALIGLUCERASE ALFA,ORIG,1,AP,2012-05-01T00:00:00Z,NA,STANDARD,elelyso,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Elelyso (taliglucerase alfa) is a plant-cell expressed recombinant form of glucocerebrosidase for the treatment of Gaucher disease.,"May 1, 2012","Protalix BioTherapeutics, Inc.",Gaucher Disease,"May 1, 2012",2012-05-01,taliglucerase alfa,taliglucerase
ULIPRISTAL ACETATE,ORIG,1,AP,2010-08-13T00:00:00Z,NA,STANDARD,ella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ella is a progesterone agonist/antagonist emergency contraceptive indicated for prevention of pregnancy following unprotected intercourse or a known or suspected contraceptive failure. ,"August 13, 2010",HRA Pharma,Postcoital Contraception,"August 13, 2010",2010-08-13,NA,NA
TESAMORELIN ACETATE,ORIG,1,AP,2010-11-10T00:00:00Z,NA,STANDARD,egrifta,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Egrifta (tesamorelin) is a synthetic analogue of growth hormone releasing factor (GRF) for the treatment of excess abdominal fat in HIV patients with lipodystrophy.,"November 10, 2010",Theratechnologies,Reduction of Excess Abdominal Fat in HIV-Infected Patients with Lipodystrophy,"November 10, 2010",2010-11-10,tesamorelin,tesamorelin
DABIGATRAN ETEXILATE MESYLATE,ORIG,1,AP,2010-10-19T00:00:00Z,NA,PRIORITY,pradaxa,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pradaxa (dabigatran etexilate) is a direct thrombin inhibitor indicated to reduce the risk of stroke and systemic embolism in patients with non-valvular atrial fibrillation; and for the treatment and reduction of risk of deep vein thrombosis and pulmonary embolism.,"October 19, 2010","Boehringer Ingelheim Pharmaceuticals, Inc.","Prevention of Thromboembolism in Atrial Fibrillation, Deep Vein Thrombosis, Pulmonary Embolism","October 19, 2010",2010-10-19,dabigatran etexilate,dabigatran
ROFLUMILAST,ORIG,1,AP,2011-02-28T00:00:00Z,NA,STANDARD,daliresp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Daliresp (roflumilast) is an orally administered phosphodiesterase 4 (PDE4) enzyme inhibitor indicated as a treatment to reduce the risk of COPD  exacerbations in patients with severe COPD associated with 
chronic bronchitis and a history of exacerbations.","February 28, 2011","Allergan, Inc.",Chronic Obstructive Pulmonary Disease,"February 28, 2011",2011-02-28,roflumilast,roflumilast
FLIBANSERIN,ORIG,1,AP,2015-08-18T00:00:00Z,NA,STANDARD,addyi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Addyi (flibanserin) is a non-hormonal, multifunctional serotonin agonist antagonist (MSAA) for the treatment of hypoactive sexual desire disorder in premenopausal women.","August 18, 2015","Sprout Pharmaceuticals, Inc.",Hypoactive Sexual Desire Disorder,"August 18, 2015",2015-08-18,flibanserin,flibanserin
FINGOLIMOD HYDROCHLORIDE,ORIG,1,AP,2010-09-21T00:00:00Z,NA,PRIORITY,gilenya,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gilenya (fingolimod) is a sphingosine 1-phosphate receptor modulator indicated for the treatment of patients with relapsing forms of multiple sclerosis.,"September 21, 2010",Novartis,Multiple Sclerosis,"September 21, 2010",2010-09-21,fingolimod,fingolimod
LORCASERIN HYDROCHLORIDE,ORIG,1,AP,2012-06-27T00:00:00Z,NA,STANDARD,belviq,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Belviq (lorcaserin) is a serotonin 2C receptor agonist indicated for chronic weight management in adults who are obese, or overweight and who have at least one weight-related condition such as high blood pressure, type 2 diabetes, or high cholesterol.","June 27, 2012","Arena Pharmaceuticals, Inc.",Obesity,"June 27, 2012",2012-06-27,lorcaserin,lorcaserin
PIRFENIDONE,ORIG,1,AP,2014-10-15T00:00:00Z,NA,PRIORITY,esbriet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Esbriet (pirfenidone) is a TGF-beta synthesis inhibitor for the treatment of patients with idiopathic pulmonary fibrosis (IPF).,"October 15, 2014","InterMune, Inc.",Idiopathic Pulmonary Fibrosis,"October 15, 2014",2014-10-15,pirfenidone,pirfenidone
CARGLUMIC ACID,ORIG,1,AP,2010-03-18T00:00:00Z,NA,PRIORITY,carbaglu,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carbaglu (carglumic acid) is a carbamoyl phosphate synthetase 1 (CPS 1) activator indicated for the treatment of hyperammonemia due to the deficiency of the hepatic enzyme N-acetylglutamate synthase (NAGS). ,"March 18, 2010",Orphan Europe,NAGS Deficiency Hyperammonemia,"March 18, 2010",2010-03-18,carglumic acid,carglumic
VILAZODONE HYDROCHLORIDE,ORIG,1,AP,2011-01-21T00:00:00Z,NA,STANDARD,viibryd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Viibryd (vilazodone) is a dual-acting potent and selective serotonin reuptake inhibitor and a 5-HT1A receptor partial agonist indicated for the treatment of major depressive disorder (MDD). ,"January 21, 2011","Allergan, Inc.",Depression,"January 21, 2011",2011-01-21,vilazodone,vilazodone
VELAGLUCERASE ALFA,ORIG,1,AP,2010-02-26T00:00:00Z,NA,PRIORITY,vpriv,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VPRIV (velaglucerase alfa) is a hydrolytic lysosomal glucocerebroside-specific enzyme indicated for long-term enzyme replacement therapy for pediatric and adult patients with Type 1 Gaucher disease.,"February 26, 2010",Shire plc,Gaucher Disease,"February 26, 2010",2010-02-26,velaglucerase alfa,velaglucerase
TOCILIZUMAB,ORIG,1,AP,2010-01-08T00:00:00Z,NA,STANDARD,actemra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Actemra (tocilizumab) is a humanized interleukin-6 (IL-6) receptor-inhibiting monoclonal antibody for the treatment rheumatoid arthritis; systemic juvenile idiopathic arthritis (SJIA); polyarticular juvenile idiopathic arthritis (PJIA); giant cell arteritis; and CAR T cell-induced severe or life-threatening cytokine release syndrome.,"January 8, 2010","Genentech USA, Inc.","Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Giant Cell Arteritis","January 8, 2010",2010-01-08,tocilizumab,tocilizumab
BELATACEPT,ORIG,1,AP,2011-06-15T00:00:00Z,NA,STANDARD,nulojix,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nulojix (belatacept) is a selective T-cell costimulation blocker indicated for prophylaxis of organ rejection in adult patients receiving a kidney transplant.,"June 15, 2011Company: Bristol-Myers Squibb ",Bristol-Myers Squibb Company,Organ Transplant -- Rejection Prophylaxis,"June 15, 2011",2011-06-15,belatacept,belatacept
ALGLUCOSIDASE ALFA,ORIG,1,AP,2010-05-24T00:00:00Z,NA,PRIORITY,lumizyme,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lumizyme (alglucosidase alfa) is a lysosomal glycogen-specific enzyme indicated for patients with Pompe disease.,"May 24, 2010",Genzyme Corporation,Pompe disease,"May 24, 2010",2010-05-24,alglucosidase alfa,alglucosidase
PEGLOTICASE,ORIG,1,AP,2010-09-14T00:00:00Z,NA,PRIORITY,krystexxa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Krystexxa (pegloticase) is a PEGylated uric acid specific enzyme indicated for the treatment of chronic gout in adult patients refractory to conventional therapy.,"September 14, 2010","Savient Pharmaceuticals, Inc.",Gout,"September 14, 2010",2010-09-14,pegloticase,pegloticase
TBO-FILGRASTIM,ORIG,1,AP,2012-08-29T00:00:00Z,NA,STANDARD,granix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Granix (tbo-filgrastim) is a leukocyte growth factor indicated for the reduction in the duration of severe neutropenia in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs.,"August 29, 2012",Teva Pharmaceutical Industries Ltd.,Neutropenia Associated with Chemotherapy,"August 29, 2012",2012-08-29,tbo-filgrastim,tbo
DENOSUMAB,ORIG,1,AP,2010-06-01T00:00:00Z,NA,STANDARD,prolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prolia is a RANK ligand (RANKL) inhibitor indicated for the treatment of postmenopausal women with osteoporosis at high risk for fracture, for the treatment of bone loss in patients with prostate or breast cancer undergoing hormone ablation therapy, as a treatment to increase bone mass in men with osteoporosis at high risk for fracture, and for the treatment of glucocorticoid-induced osteoporosis in men and women at high risk of fracture. ","June 1, 2010",Amgen Inc.,Osteoporosis,"June 1, 2010",2010-06-01,RANKL,RANKL
DENOSUMAB,ORIG,1,AP,2010-06-01T00:00:00Z,NA,STANDARD,xgeva,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Xgeva (denosumab) is a RANK ligand (RANKL) inhibitor indicated for the prevention of skeletal-related events in patients with multiple myeloma and in patients with bone metastases from solid tumors. Xgeva is also indicated for treatment giant cell tumor of bone and for the treatment of hypercalcemia of malignancy refractory to bisphosphonate therapy.,"November 18, 2010",Amgen Inc.,"Osteolytic Bone Metastases of Solid Tumors, Osteolytic Bone Lesions of Multiple Myeloma, Giant Cell Tumor of Bone, Hypercalcemia of Malignancy","November 18, 2010",2010-11-18,denosumab,denosumab
GLUCARPIDASE,ORIG,1,AP,2012-01-17T00:00:00Z,NA,PRIORITY,voraxaze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Voraxaze (glucarpidase) is a carboxypeptidase enzyme indicated for the treatment of toxic plasma methotrexate levels in patients with delayed methotrexate clearance due to impaired renal function. ,"January 17, 2012",BTG International Inc.,Toxic Methotrexate Levels,"January 17, 2012",2012-01-17,glucarpidase,glucarpidase
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,ORIG,1,AP,2010-02-02T00:00:00Z,NA,PRIORITY,xiaflex,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Xiaflex (collagenase clostridium histolyticum) is a collagenase product for the treatment of Dupuytren's contracture, a condition that affects the connective tissue that lies beneath the skin in the palm.","February 3, 2010",BioSpecifics Technologies Corp.,Dupuytren's Contracture,"February 3, 2010",2010-02-03,collagenase clostridium histolyticum,collagenase
asparaginase Erwinia chrysanthemi,ORIG,1,AP,2011-11-18T00:00:00Z,NA,PRIORITY,erwinaze,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,Erwinaze (asparaginase Erwinia chrysanthemi) is an antineoplastic agent used to treat patients with acute lymphoblastic leukemia (ALL) who have developed an allergy (hypersensitivity) to E. coli derived asparaginase and pegapargase chemotherapy drugs.,"November 18, 2011",Jazz Pharmaceuticals,Acute Lymphoblastic Leukemia,"November 18, 2011",2011-11-18,asparaginase Erwinia chrysanthemi,asparaginase
incobotulinumtoxinA,ORIG,1,AP,2010-07-30T00:00:00Z,NA,STANDARD,xeomin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xeomin (incobotulinumtoxinA) is a botulinum toxin type A for the treatment of cervical dystonia, blepharospasm, glabellar lines, upper limb spasticity, and excessive drooling.","July 30, 2010","Merz Pharmaceuticals, LLC","Cervical Dystonia, Blepharospasm, Glabellar Lines, Upper Limb Spasticity, Excessive Salivation","July 30, 2010",2010-07-30,incobotulinumtoxinA,incobotulinumtoxinA
BELIMUMAB,ORIG,1,AP,2011-03-09T00:00:00Z,NA,PRIORITY,benlysta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Benlysta (belimumab) is B-lymphocyte stimulator (BLyS)-specific inhibitor indicated for the treatment of patients with systemic lupus erythematosus.,"March 10, 2011","Human Genome Sciences, Inc. and GlaxoSmithKline",Systemic Lupus Erythematosus,"March 10, 2011",2011-03-10,belimumab,belimumab
IPILIMUMAB,ORIG,1,AP,2011-03-25T00:00:00Z,NA,PRIORITY,yervoy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yervoy (ipilimumab) is a human cytotoxic T-lymphocyte antigen 4 (CTLA-4)-blocking antibody indicated for the treatment of melanoma. Yervoy is also used in combination with Opdivo (nivolumab) for the treatment of advanced renal cell carcinoma, and microsatellite instability high (MSI-H) or mismatch repair deficient (dMMR) metastatic colorectal cancer.","March 25, 2011",Bristol-Myers Squibb,"Melanoma -- Metastatic, Renal Cell Carcinoma, Colorectal Cancer","March 25, 2011",2011-03-25,ipilimumab,ipilimumab
AFLIBERCEPT,ORIG,1,AP,2011-11-18T00:00:00Z,NA,PRIORITY,eylea,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Eylea (aflibercept) is a VEGF inhibitor indicated for the treatment of patients with neovascular (wet) age-related macular degeneration, macular edema following retinal vein occlusion, diabetic macular edema, and diabetic retinopathy.","November 18, 2011","Regeneron Pharmaceuticals, Inc.",Macular Degeneration; Macular Edema; Diabetic Retinopathy; Diabetic Macular Edema,"November 18, 2011",2011-11-18,aflibercept,aflibercept
BRENTUXIMAB VEDOTIN,ORIG,1,AP,2011-08-19T00:00:00Z,NA,PRIORITY,adcetris,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,"Adcetris (brentuximab vedotin) is a CD30-directed antibody-drug conjugate (ADC) indicated for the treatment of adult patients with:
","August 19, 2011","Seattle Genetics, Inc.","Lymphoma, Hodgkin's Disease, Mycosis Fungoides","August 19, 2011",2011-08-19,brentuximab vedotin,brentuximab
METRELEPTIN,ORIG,1,AP,2014-02-24T00:00:00Z,NA,PRIORITY,myalept,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Myalept (metreleptin) is a leptin analog
indicated to treat the complications of leptin deficiency in patients with
congenital or acquired generalized lipodystrophy.","February 24, 2014","Amylin Pharmaceuticals, Inc.",Lipodystrophy,"February 24, 2014",2014-02-24,metreleptin,metreleptin
PERTUZUMAB,ORIG,1,AP,2012-06-08T00:00:00Z,NA,PRIORITY,perjeta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Perjeta (pertuzumab) is a humanized monoclonal antibody indicated for the treatment of HER2-positive breast cancer.,"June 8, 2012",Genentech,Breast Cancer,"June 8, 2012",2012-06-08,pertuzumab,pertuzumab
ZIV-AFLIBERCEPT,ORIG,1,AP,2012-08-03T00:00:00Z,NA,PRIORITY,zaltrap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zaltrap (ziv-aflibercept) is an angiogenesis inhibitor for the combination treatment of patients with metastatic colorectal cancer.,"August 3, 2012","Sanofi and Regeneron Pharmaceuticals, Inc.",Colorectal Cancer,"August 3, 2012",2012-08-03,ziv-aflibercept,ziv
